Noun;Frequency_per_Million;Translation;CEFR
das Pokalendspiel;4.84;финал кубка;B1
das Gamepad;4.88;геймпад;B1
das Nationalorchester;4.89;национальный оркестр;B2
das Billigangebot;4.89;дешёвое предложение;B1
das Moskitonetz;4.92;антимоскитная сетка;B1
das Lachsbrötchen;4.92;булочка с лососем;A2
das Regierungsgeschäft;4.96;государственное дело;B2
das Technikverständnis;4.98;понимание техники;B1
das Basilikum;5.08;базилик;A2
das Gespenst;5.11;призрак;B1
das Mückenspray;5.13;спрей от комаров;B1
das Filmangebot;5.17;ассортимент фильмов;B1
das Autorennen;5.21;автогонки;B1
der Auslaut;5.22;конечный звук;B2
das Eigelb;5.26;яичный желток;B1
das Luxushotel;5.27;роскошный отель;B1
das Türkis;5.33;бирюза;B1
das Insektenspray;5.34;спрей от насекомых;B1
das Finanzprodukt;5.36;финансовый продукт;B2
das Ökokonzept;5.38;экоконцепция;B2
das Gartengemüse;5.42;садовые овощи;B1
das Patentamt;5.42;патентное ведомство;B2
das Konservatorium;5.57;консерватория;B2
das Verwandtschaftsverhältnis;5.62;родственные отношения;B2
das Mittelgebirge;5.66;среднегорье;B1
das Ingenieurbüro;5.66;инженерное бюро;B1
das Rinderfilet;5.71;филе говядины;B1
das Andenken;5.73;память, сувенир;B1
das Kalbfleisch;5.73;телятина;B1
das Bruttogehalt;5.78;брутто-зарплата;B1
das Technikproblem;5.78;техническая проблема;B1
das Volkswirtschaftsstudium;5.88;изучение экономики;B2
das Feuerwehrauto;5.88;пожарная машина;A2
das Parlamentshaus;5.91;здание парламента;B1
das Grauen;5.93;ужас;B1
das Endziel;5.94;конечная цель;B1
das Bruttoeinkommen;5.94;валовой доход;B1
das Familientreffen;5.96;встреча семьи;B1
das Gewichtsproblem;6.02;проблема веса;B1
das Gartenmöbel;6.03;садовая мебель;A2
das Kinderbecken;6.03;детский бассейн;A2
das Urlaubswetter;6.04;погода в отпуске;A2
das Müllproblem;6.07;проблема мусора;B1
das Lagerfeuer;6.14;костёр;A2
das Arbeitsklima;6.17;рабочая атмосфера;B1
das Geschnetzelte;6.18;мясо мелкой нарезки;B1
das Moor;6.18;болото;B1
das Waschprogramm;6.19;режим стирки;A2
das Freizeitverhalten;6.21;поведение в свободное время;B1
das Verkaufsergebnis;6.27;результат продаж;B1
das Familienfoto;6.28;семейное фото;A2
das Villenviertel;6.33;район вилл;B1
der Drehteller;6.33;поворотный стол;B1
der Grönlandwal;6.34;гренландский кит;B2
das Masterdiplom;6.36;диплом магистра;B1
das Geschäftsessen;6.41;деловой обед;B1
das Sommerkleid;6.42;летнее платье;A2
das Abgas;6.42;выхлопной газ;B1
das Geburtstagslied;6.47;песня на день рождения;A2
das Kalb;6.48;теленок;B1
der Almanach;6.48;альманах;B2
das Durchschnittsalter;6.53;средний возраст;B1
das Tagesprogramm;6.59;программа дня;A2
das Bügeleisen;6.63;утюг;A2
das Kinderbild;6.66;детский рисунок;A2
das Reiseprospekt;6.67;туристическая брошюра;A2
das Nilpferd;6.74;бегемот;A2
das Ferienhaus;6.74;дом для отпуска;A2
das Intranet;6.77;интранет;B1
das Radieschen;6.81;редис;A2
das Nashorn;6.83;носорог;A2
das Touristenziel;6.87;туристическое направление;A2
der Goliathkäfer;6.87;жук-голиаф;B2
das Magnesium;6.87;магний;B1
das Mietauto;6.91;арендованный автомобиль;A2
das Bündnis;6.94;союз;B1
das Violett;7.03;фиолетовый цвет;A2
das Vereinsmitglied;7.11;член клуба;B1
das Gesellschaftsspiel;7.14;настольная игра;A2
das Arbeitsleben;7.14;трудовая жизнь;B1
das Geschäftsleben;7.23;деловая жизнь;B1
das Ärgernis;7.27;раздражение;B1
das Single;7.33;одинокий человек;A2
das Christentum;7.34;христианство;B1
der Arabischkurs;7.36;курс арабского языка;B1
das Nettoeinkommen;7.36;чистый доход;B1
der Deutschlandfunk;7.42;радиостанция Deutschlandfunk;B1
das Haushaltsgerät;7.42;бытовой прибор;A2
das Lotto;7.44;лотерея;A2
das Unkraut;7.47;сорняк;B1
das Studienjahr;7.51;учебный год;A2
das Lamm;7.51;ягнёнок;A2
das Ozon;7.52;озон;B1
der Hexentanzplatz;7.53;площадка шабаша;B2
das Hauptgebäude;7.55;главное здание;A2
der Borschtsch;7.61;борщ;B1
das Fachgeschäft;7.61;специализированный магазин;B1
das Kraut;7.66;трава, капуста;B1
der Aromastoff;7.74;ароматизатор;B2
das Familienmitglied;7.77;член семьи;A2
das Sonnensystem;7.82;солнечная система;A2
das Immunsystem;7.82;иммунная система;B1
das Anzeichen;7.82;признак, симптом;B1
das Riesenrad;7.83;колесо обозрения;A2
der Betriebsrundgang;7.83;экскурсия по предприятию;B1
das Eiweiß;7.84;белок;B1
das Gegenargument;7.84;контраргумент;B1
das Weltmeer;7.86;мировой океан;B1
das Verkehrsministerium;7.88;министерство транспорта;B2
der Giftpfeilfrosch;7.88;ядовитая лягушка;B2
der Doppelmord;7.93;двойное убийство;B1
das Opernhaus;8.01;оперный театр;B1
das Säugetier;8.02;млекопитающее;B1
der Bombenerfolg;8.03;оглушительный успех;B1
das Becken;8.17;таз, бассейн;A2
das Nutztier;8.17;сельскохозяйственное животное;B1
das Grundgesetz;8.17;основной закон;B1
der Kindermörder;8.37;детоубийца;B1
der Haarteil;8.37;накладка для волос;B1
das Zusammenwohnen;8.46;совместное проживание;A2
der Cholesterinanteil;8.49;доля холестерина;B1
das Gemälde;8.49;картина;A2
das Telefongespräch;8.51;телефонный разговор;A2
das Insekt;8.53;насекомое;A2
das Preis-Leistungs-Verhältnis;8.54;соотношение цена/качество;B1
das Schulsystem;8.61;школьная система;A2
der Blauwal;8.62;синий кит;A2
das Studentenwohnheim;8.63;студенческое общежитие;A2
das Erdbeben;8.67;землетрясение;A2
der Aussichtsturm;8.73;обзорная башня;B1
das Patent;8.73;патент;B1
das Sparbuch;8.74;сберкнижка;A2
das Tierheim;8.83;приют для животных;A2
das Lieblingsfach;8.87;любимый предмет;A2
das Weltkulturerbe;8.91;мировое культурное наследие;B1
der Betriebswirt;8.91;экономист;B1
der Erscheinungsort;8.94;место публикации;B1
das Quiz;8.97;викторина;A2
das Girokonto;9.03;расчётный счёт;A2
der Assistenzarzt;9.03;врач-ассистент;B1
das Verhör;9.03;допрос;B1
der Bienenstich;9.03;укусы пчелы;A2
das Windrad;9.03;ветряк, ветротурбина;A2
das Snowboard;9.04;сноуборд;A2
das Kriterium;9.08;критерий;B1
das Olivenöl;9.08;оливковое масло;A2
das Erdöl;9.13;нефть;B1
das Sparkonto;9.17;сберегательный счёт;A2
das Umweltproblem;9.21;экологическая проблема;A2
der Elektroherd;9.27;электроплита;A2
das Kissen;9.27;подушка;A2
das Stroh;9.28;солома;A2
das Denkmal;9.37;памятник;A2
das Weihnachtslied;9.38;рождественская песня;A2
das Panorama;9.38;панорама;A2
das Musikstück;9.41;музыкальное произведение;A2
der Betriebsarzt;9.41;врач предприятия;B1
der Opferstein;9.46;жертвенный камень;B1
der Ausschnitt;9.47;вырезка, фрагмент;B1
das Format;9.47;формат;A2
der Flusskrebs;9.47;речной рак;B1
der Diamantring;9.53;кольцо с бриллиантом;A2
das Privatleben;9.61;частная жизнь;B1
der Giftzahn;9.61;ядовитый клык;B1
das Lob;9.63;похвала;B1
das Rindfleisch;9.63;говядина;A2
der Bummel;9.64;прогулка;A2
das Zielpublikum;9.72;целевая аудитория;B1
der Kriminologe;9.73;криминолог;B1
das Portemonnaie;9.74;кошелёк;A2
das Leder;9.74;кожа;A2
das Inland;9.76;внутренняя территория;B1
das Drama;9.77;драма;A2
das Volksfest;9.77;народный праздник;A2
der Kräuterschnaps;9.81;травяной ликёр;B1
der Bankschalter;9.84;банковская касса;A2
das Argument;9.87;аргумент;A2
das Parfüm;9.89;духи;A2
der Bombenanschlag;9.92;теракт;B1
der Pfeilgiftfrosch;9.97;ядовитая лягушка;B2
der Akademiker;9.98;человек с высшим образованием;B1
das Budget;10.01;бюджет;A2
das Image;10.03;имидж;B1
der Erzbischof;10.03;архиепископ;B1
der Dill;10.04;укроп;A2
der Chefdirigent;10.11;главный дирижёр;B1
das Gift;10.12;яд;A2
das Lexikon;10.12;лексикон, словарь;A2
der Golfkurs;10.12;курс по гольфу;A2
das Passwort;10.14;пароль;A2
das Diplom;10.14;диплом;A2
der Arbeitsbereich;10.17;сфера деятельности;B1
der Opportunist;10.21;оппортунист;B1
der Boulevard;10.21;бульвар;A2
der Aussteller;10.21;экспонент;B1
der Bauingenieur;10.26;инженер-строитель;B1
der Germane;10.27;германец;B1
das Lebensjahr;10.27;год жизни;A2
das Schlagzeug;10.28;ударная установка;A2
der Gastdirigent;10.31;приглашённый дирижёр;B1
der Kerzenständer;10.32;подсвечник;A2
das Sushi;10.33;суси;A2
der Absolvent;10.33;выпускник;A2
der Mauerbau;10.36;строительство стены;B1
der Blues;10.38;блюз;A2
der Krake;10.39;осьминог;A2
der Kleingartenverein;10.41;садоводческое товарищество;B1
das Ereignis;10.42;событие;A2
das Benzin;10.43;бензин;A2
das Nachtleben;10.43;ночная жизнь;B1
das Schweinefleisch;10.47;свинина;A2
der Familienmensch;10.48;семейный человек;A2
das Huhn;10.49;курица;A2
der Benzinverbrauch;10.57;расход бензина;A2
der Dämon;10.58;демон;B1
der Nationaldichter;10.61;национальный поэт;B1
der Bundeshaushalt;10.63;госбюджет;B1
das Dessert;10.65;десерт;A2
der Konsumartikel;10.66;потребительский товар;B1
das Paradies;10.69;рай;A2
der Fachtext;10.73;специальный текст;B1
der Langlaufski;10.73;лыжи для беговых гонок;A2
der Anrufer;10.73;звонивший;A2
der Denkmalschutz;10.74;охрана памятников;B1
der Scheiterhaufen;10.76;костёр (для казни);B1
der Herzschmerz;10.81;любовная тоска;A2
der Billigflug;10.81;дешёвый авиарейс;A2
der Pflanzenstoff;10.83;растительное вещество;B1
das Abitur;10.83;выпускной экзамен (в школе);A2
der Bankräuber;10.86;грабитель банка;A2
der Hauptschulabschluss;10.86;аттестат об окончании школы;A2
der Patentprüfer;10.86;эксперт по патентам;B1
das Sprichwort;10.86;пословица;A2
der Aufruf;10.88;призыв;B1
das Gebirge;10.91;горная цепь;A2
der Programmwähler;10.92;переключатель программ;A2
der Kapellmeister;10.93;капельмейстер;B1
das Ehepaar;10.95;супружеская пара;A2
das Trinkgeld;10.97;чаевые;A2
das Detail;11.02;деталь;A2
der Banküberfall;11.03;ограбление банка;A2
der Koriander;11.04;кориандр;A2
das Marketing;11.04;маркетинг;B1
der Besen;11.06;метла;A2
der Apotheker;11.06;фармацевт;A2
der Gepard;11.06;гепард;A2
der Blumenkohl;11.07;цветная капуста;A2
der Lösungsschlüssel;11.08;ключ к решению;A2
das Zusammenleben;11.12;совместная жизнь;A2
der Exporteur;11.12;экспортёр;B1
der Australier;11.14;австралиец;A2
das Pech;11.22;неудача;A2
der Insektenstich;11.24;укус насекомого;A2
das Protokoll;11.26;протокол;B1
der Lammbraten;11.26;жаркое из ягнёнка;A2
das Blatt;11.26;лист;A2
das Haustier;11.28;домашнее животное;A2
das Wohlbefinden;11.29;благополучие;A2
der Aufstieg;11.29;подъём, продвижение;A2
der Direktflug;11.31;прямой рейс;A2
das Viertel;11.36;район, четверть;A2
der Kümmel;11.39;тмин;A2
der Hauptrechner;11.44;главный компьютер;B1
der Waschmaschinenmonteur;11.44;мастер по стиральным машинам;B1
der Champignon;11.47;шампиньон;A2
der Netzstecker;11.48;вилка для розетки;A2
das Original;11.48;оригинал;A2
der Kassettenspieler;11.49;кассетный плеер;A2
das Rätsel;11.57;загадка;A2
das Motto;11.58;девиз;A2
der Finanzdirektor;11.58;финансовый директор;B1
der Patentanwalt;11.61;патентный поверенный;B1
der Flugzeugabsturz;11.62;крушение самолёта;B1
der Deckel;11.63;крышка;A2
der Staatssicherheitsdienst;11.64;служба госбезопасности;B1
der Detektiv;11.67;детектив;A2
das Wahrzeichen;11.67;достопримечательность, символ;A2
der Kleingarten;11.68;садовый участок;A2
das Seminar;11.72;семинар;A2
das Gymnasium;11.72;гимназия;A2
das Magazin;11.73;журнал;A2
der Müllberg;11.76;мусорная гора;A2
der Fahrkartenschalter;11.76;касса для билетов;A2
der Riesenkrake;11.78;гигантский осьминог;B1
der Benzinpreis;11.79;цена на бензин;A2
der Elektriker;11.83;электрик;A2
der Marketingmanager;11.83;менеджер по маркетингу;B1
das Café;11.88;кафе;A1
der Muskat;11.91;мускатный орех;A2
der Kohlrabi;11.91;кольраби;A2
das Konzept;11.91;концепция;B1
der Bankmitarbeiter;11.92;сотрудник банка;A2
der Anschlag;11.92;теракт, нападение;B1
der Wirtschaftsmathematiker;11.93;специалист по экономической математике;B1
der Originaltitel;11.94;оригинальное название;A2
der Hochzeitstanz;11.98;свадебный танец;A2
der Lottoschein;11.98;лотерейный билет;A2
das Reisebüro;12.02;туристическое агентство;A2
der Fleischer;12.03;мясник;A2
der Delfin;12.03;дельфин;A2
das Interview;12.07;интервью;A2
der Kleingärtner;12.14;садовод;A2
der Marienkäfer;12.14;божья коровка;A2
das Verbrechen;12.17;преступление;A2
der Designer;12.18;дизайнер;A2
der Bodensee;12.18;Боденское озеро;A2
das Schulfach;12.19;школьный предмет;A2
der Anzug;12.21;костюм;A2
der Fußballmeister;12.24;чемпион по футболу;A2
das Motiv;12.26;мотив;A2
der Zivilisierungsprozess;12.27;процесс цивилизации;B1
der Kameramann;12.27;оператор;A2
der Finanzexperte;12.31;финансовый эксперт;B1
der Parmesankäse;12.37;сыр пармезан;A2
der Praktikumsplatz;12.39;место практики;A2
das Management;12.41;менеджмент;B1
das Überleben;12.42;выживание;A2
der Golfplatz;12.46;площадка для гольфа;A2
der Biologe;12.46;биолог;B1
der Bundesbürger;12.52;гражданин ФРГ;A2
der Lebensmittelhersteller;12.54;производитель продуктов;B1
der Wintersportfreund;12.61;любитель зимнего спорта;A2
der Pokalsieger;12.63;победитель кубка;A2
der Fels;12.63;скала;A2
der Mückenstich;12.63;укус комара;A2
das Symbol;12.64;символ;A2
der Actionfilm;12.64;боевик;A2
der Bart;12.72;борода;A2
der Gletscher;12.73;ледник;A2
der Braten;12.74;жаркое;A2
das Fach;12.74;предмет (учебный), ящик;A2
der Kopfsalat;12.76;кочанный салат;A2
der Lottogewinner;12.76;победитель лотереи;A2
der Schnittlauch;12.78;лук-резанец;A2
der Modeberuf;12.83;модная профессия;A2
der Dirigent;12.86;дирижёр;A2
der Rotkohl;12.87;краснокочанная капуста;A2
der Arbeitsmarkt;12.87;рынок труда;A2
der Einbrecher;12.87;взломщик;A2
der Wellnessbereich;12.93;зона отдыха и здоровья;A2
der Hauptkommissar;12.97;главный комиссар;B1
der Müllcontainer;12.98;мусорный контейнер;A2
das Praktikum;13.01;стажировка;A2
der Mitmensch;13.02;ближний, собрат;A2
der Wirtschaftsvertreter;13.02;представитель экономики;B1
der Finanzhaushalt;13.02;финансовый бюджет;B1
der Einstieg;13.02;вход, вступление;A2
das Blut;13.04;кровь;A2
der Naturfilm;13.04;фильм о природе;A2
der Schnauzbart;13.06;усы;A2
der Thymian;13.06;тимьян;A2
der Abfall;13.06;мусор;A2
der Begleiter;13.08;сопровождающий;A2
der Internetanbieter;13.08;интернет-провайдер;A2
der Buchladen;13.11;книжный магазин;A2
der Rinderbraten;13.11;жаркое из говядины;A2
der Fahrscheinautomat;13.11;автоматический компостер;A2
der Siegeszug;13.12;триумфальное шествие;B1
der Kinderspielplatz;13.12;детская площадка;A2
die Abhöranlage;13.17;прослушивающее устройство;B1
das Märchen;13.19;сказка;A2
der Elefant;13.21;слон;A2
der Haifisch;13.21;акула;A2
der Besitzer;13.22;владелец;A2
der Dokumentarfilm;13.23;документальный фильм;A2
der Fernsehkanal;13.23;телеканал;A2
der Klatsch;13.26;сплетня;A2
der Rasierapparat;13.26;бритва;A2
der Organismus;13.26;организм;A2
das Gehalt;13.27;зарплата;A2
der Ehepartner;13.27;супруг;A2
der Chefarzt;13.28;главврач;B1
das Vorstellungsgespräch;13.28;собеседование;A2
der Hochschulabschluss;13.29;высшее образование;A2
das Parlament;13.32;парламент;A2
der Fahrkartenautomat;13.34;автомат по продаже билетов;A2
der Blitz;13.34;молния;A2
der Regionalzug;13.38;региональный поезд;A2
der Bauernhof;13.41;ферма;A2
der Dozent;13.42;преподаватель в вузе;B1
der Tennistrainer;13.42;тренер по теннису;A2
der Philharmoniker;13.42;филармонист;A2
der Mathematiker;13.42;математик;A2
der Geheimdienst;13.44;спецслужба;B1
der Einbruch;13.44;взлом;A2
der Lift;13.47;лифт;A2
der Seeblick;13.47;вид на озеро;A2
der Wespenstich;13.47;укус осы;A2
der Brite;13.48;британец;A2
der Warentest;13.51;тестирование товаров;B1
der Eiffelturm;13.54;Эйфелева башня;A2
der Geschäftsbrief;13.57;деловое письмо;B1
das Vermögen;13.58;состояние, имущество;B1
das Einkommen;13.61;доход;A2
der Veränderungsvorschlag;13.61;предложение по изменению;B1
der Jahresbericht;13.61;годовой отчёт;B1
der Orkan;13.61;ураган;A2
der Rukola;13.62;руккола;A2
das Holz;13.63;дерево, древесина;A2
der Gärtner;13.63;садовник;A2
der Frosch;13.68;лягушка;A2
der Misserfolg;13.69;неудача;A2
der Gipfel;13.69;вершина, саммит;A2
der Portier;13.71;портье;A2
der Hut;13.71;шляпа;A2
der Energieverbrauch;13.74;потребление энергии;B1
das Opfer;13.74;жертва;A2
der Pfeil;13.77;стрела;A2
der Weißkohl;13.77;белокочанная капуста;A2
der Beweis;13.79;доказательство;A2
der Dieb;13.79;вор;A2
der Fragebogen;13.79;анкета;A2
der Abschied;13.81;прощание;A2
das Semester;13.81;семестр;A2
der Filter;13.82;фильтр;A2
der Arbeitnehmer;13.82;наёмный работник;A2
der Weltruhm;13.84;мировая слава;B1
das Zeugnis;13.84;свидетельство, табель;A2
der Bundeskanzler;13.86;федеральный канцлер;A2
der Staatsdienst;13.87;госслужба;A2
der Pädagoge;13.87;педагог;A2
der Geldschein;13.88;банкнота;A2
der Torf;13.89;торф;A2
das Konto;13.89;счёт;A2
der Nachrichtensender;13.89;новостной канал;A2
das Mitglied;13.92;член (организации);A2
der Verpackungsabfall;13.92;упаковочный мусор;B1
der Liebesbrief;13.92;любовное письмо;A2
der Fußballverein;13.93;футбольный клуб;A2
der Nordpol;13.94;Северный полюс;A2
das Publikum;13.94;публика;A2
der Schlittschuh;13.94;конёк;A2
der Produktmanager;13.97;продуктовый менеджер;A2
der Kundendienst;13.98;обслуживание клиентов;A2
der Hausmeister;13.98;дворник, смотритель;A2
der Skorpion;14.01;скорпион;A2
der Automat;14.02;автомат;A2
der Irrtum;14.03;заблуждение, ошибка;A2
der Bundestag;14.03;бундестаг;A2
der Helikopter;14.03;вертолёт;A2
der Fernsehsender;14.04;телевещательная компания;A2
der Anlass;14.06;повод;A2
der Puma;14.09;пума;A2
das Pferd;14.09;лошадь;A1
der Norweger;14.09;норвежец;A2
der Finanzminister;14.11;министр финансов;B1
der Diebstahl;14.12;кража;A2
der Ausdruck;14.13;выражение;A2
der Wassertank;14.18;водяной бак;A2
der Lippenstift;14.19;помада;A2
der Maschinenbau;14.19;машиностроение;B1
der Portugiese;14.22;португалец;A2
der Rüssel;14.23;хобот;A2
der Stecker;14.26;штекер;A2
das Mittel;14.26;средство;A2
der Griff;14.27;ручка, хватка;A2
der Chinese;14.27;китаец;A2
der Regenschauer;14.28;ливень;A2
der Moderator;14.28;ведущий;A2
der Volkswirt;14.29;экономист;B1
der Kopfhörer;14.31;наушники;A2
der Liebesfilm;14.31;мелодрама;A2
der Verpackungsmüll;14.31;мусор от упаковки;B1
der Schlafanzug;14.32;пижама;A2
der Sprachwissenschaftler;14.33;лингвист;B1
der Öko-Laden;14.33;экомагазин;A2
die Anakonda;14.33;анаконда;A2
der Anteil;14.37;доля;A2
das Verhältnis;14.39;отношение;A2
der Komponist;14.42;композитор;A2
der Traummann;14.42;мужчина мечты;A2
der Privatdetektiv;14.44;частный детектив;A2
der Kundenservice;14.44;служба поддержки;A2
der Rumäne;14.48;румын;A2
das Gesetz;14.52;закон;A2
das Ergebnis;14.55;результат;A2
der Pinguin;14.56;пингвин;A2
der Organisator;14.57;организатор;A2
der Sandstrand;14.61;песчаный пляж;A2
der Walzer;14.62;вальс;A2
der Traumpartner;14.67;партнёр мечты;A2
die Auktionsfirma;14.68;аукционный дом;B1
der Tonfilm;14.68;звуковой фильм;B1
der Hauptgrund;14.71;основная причина;A2
die Abkühlungsphase;14.72;фаза охлаждения;B1
der Sicherheitshinweis;14.73;инструкция по безопасности;A2
der Sudan;14.73;Судан;A2
der Bericht;14.73;отчёт;A2
der Autor;14.74;автор;A2
der Neffe;14.76;племянник;A2
der Physiker;14.77;физик;A2
der Käfer;14.78;жук;A2
der Klassiker;14.79;классик;A2
das Klima;14.82;климат;A2
der Eingang;14.83;вход;A2
der Betrag;14.84;сумма;A2
die Buchstabiertafel;14.86;таблица для произнесения по буквам;B1
der Löwe;14.86;лев;A2
der Fachmann;14.87;специалист;A2
der Südpol;14.87;Южный полюс;A2
der Reichstag;14.91;Рейхстаг;A2
der Schwager;14.91;деверь, шурин;A2
der Faktor;14.91;фактор;A2
die Anredeformel;14.92;форма обращения;A2
der Stachel;14.92;жало, шип;A2
der Geschäftspartner;14.93;деловой партнёр;A2
der Nachfolger;14.93;преемник;A2
der Dollar;14.96;доллар;A2
der Lautsprecher;14.98;динамик;A2
der Humor;15.01;юмор;A2
der Regierungssitz;15.02;резиденция правительства;A2
der Schaffner;15.03;проводник;A2
der Kuss;15.03;поцелуй;A2
das Schloss;15.03;замок, дворец;A2
der Luxus;15.04;роскошь;A2
der Ohrring;15.04;серёжка;A2
der Popstar;15.07;поп-звезда;A2
der Experte;15.09;эксперт;A2
der Zeitschriftenladen;15.09;киоск с журналами;A2
der Beamte;15.12;чиновник;A2
der Niederländer;15.13;нидерландец;A2
der Swimmingpool;15.14;бассейн;A2
der Philosoph;15.14;философ;A2
der Sand;15.17;песок;A2
der Abschluss;15.21;окончание, завершение;A2
der Franzose;15.22;француз;A2
der Millionär;15.26;миллионер;A2
der Spargel;15.26;спаржа;A2
der Feuerwehrmann;15.27;пожарный;A2
der Geruch;15.27;запах;A2
der Schwiegervater;15.28;тесть, свёкор;A2
der Irak;15.31;Ирак;A2
der Notfall;15.31;чрезвычайная ситуация;A2
der Lachs;15.32;лосось;A2
der Trinkbecher;15.33;стакан;A2
die Baumschlange;15.33;древесная змея;A2
der Staatschef;15.34;глава государства;A2
der Psychologe;15.34;психолог;A2
der Import;15.34;импорт;A2
der Handwerker;15.36;ремесленник;A2
der Vormarsch;15.37;наступление, продвижение;A2
der Kompromiss;15.37;компромисс;A2
der Tierhalter;15.38;владелец животного;A2
der Einwohner;15.38;житель;A2
der Mittelpunkt;15.39;центр;A2
der Betrieb;15.39;предприятие;A2
das Studium;15.39;учёба;A2
der Palast;15.42;дворец;A2
der Vergnügungspark;15.42;парк развлечений;A2
die Aktentasche;15.42;портфель;A2
der Kaiser;15.43;император;A2
das Projekt;15.48;проект;A2
der Pole;15.48;поляк;A2
der Einfluss;15.61;влияние;A2
die Augencreme;15.61;крем для глаз;A2
der Superstar;15.61;суперзвезда;A2
der Praktikant;15.61;практикант;A2
das Wunder;15.63;чудо;A2
die Erdölpipeline;15.63;нефтепровод;B1
der Schweinebraten;15.63;жаркое из свинины;A2
der Staub;15.67;пыль;A2
die Abendkasse;15.68;вечерняя касса;A2
der Verstärker;15.68;усилитель;A2
das Tier;15.72;животное;A1
der Wirtschaftszweig;15.73;отрасль экономики;B1
der Sonnenbrand;15.74;солнечный ожог;A2
der Geist;15.76;дух;A2
der Reisebericht;15.78;отчёт о поездке;A2
der Mörder;15.82;убийца;A2
der Iran;15.82;Иран;A2
die Arbeitszeitverkürzung;15.84;сокращение рабочего времени;B1
der Krankenwagen;15.86;скорая помощь;A2
der Produzent;15.86;продюсер;A2
der Zimmermann;15.87;плотник;A2
die Brotbackmaschine;15.87;хлебопечка;A2
der Mexikaner;15.91;мексиканец;A2
der Bürger;15.91;гражданин;A2
der Fahrer;15.92;водитель;A2
der Artikel;15.94;статья, артикль;A2
der Umbau;15.94;перестройка;A2
der Pilot;16.02;пилот;A2
der Premierminister;16.03;премьер-министр;A2
der Geldautomat;16.09;банкомат;A2
der Wasserhahn;16.09;водопроводный кран;A2
die Arbeitschance;16.12;возможность трудоустройства;A2
der Untergang;16.14;гибель;A2
der Rang;16.14;ранг;A2
der Einsatz;16.17;применение;A2
die Hummelfledermaus;16.17;шмелевая летучая мышь;B1
der Müll;16.18;мусор;A2
der Wäschetrockner;16.21;сушилка для белья;A2
der Schalter;16.22;окошко, выключатель;A2
der Staatspräsident;16.23;президент государства;A2
der Regisseur;16.23;режиссёр;A2
die Aula;16.24;актовый зал;A2
die Extraklasse;16.24;высший класс;B1
der Bereich;16.27;область, сфера;A2
der Lebenslauf;16.28;резюме;A2
das Licht;16.28;свет;A1
der Teddybär;16.29;плюшевый мишка;A2
der Geschmack;16.31;вкус;A2
die Krustenanemone;16.32;коралловая актиния;B1
der Streik;16.33;забастовка;A2
der Stadtpark;16.38;городской парк;A2
der Durchschnitt;16.39;среднее значение;A2
der Reiseleiter;16.41;экскурсовод;A2
die Britin;16.42;британка;A2
der Haushalt;16.42;домашнее хозяйство;A2
der Charakter;16.42;характер;A2
der Schritt;16.44;шаг;A2
der Ökonom;16.44;экономист;A2
der Mord;16.44;убийство;A2
die Administration;16.47;администрация;A2
der Sonnenschein;16.47;солнечный свет;A2
der Regierungschef;16.49;глава правительства;A2
der Manager;16.57;менеджер;A2
